x, y
-100, 2.12834e-08
369.306, 2.12834e-08
838.612, 2.12835e-08
1307.92, 2.12836e-08
1777.22, 2.12837e-08
2246.53, 2.12838e-08
2715.84, 2.1284e-08
3185.14, 2.12843e-08
3654.45, 2.12845e-08
4123.75, 2.12848e-08
4593.06, 2.12851e-08
5062.37, 2.12855e-08
5531.67, 2.12859e-08
6000.98, 2.12863e-08
6470.28, 2.12868e-08
6939.59, 2.12872e-08
7408.9, 2.12878e-08
7878.2, 2.12883e-08
8347.51, 2.12889e-08
8816.81, 2.12896e-08
9286.12, 2.12902e-08
9755.43, 2.12909e-08
10224.7, 2.12917e-08
10694, 2.12924e-08
11163.3, 2.12932e-08
11632.6, 2.12941e-08
12102, 2.1295e-08
12571.3, 2.12959e-08
13040.6, 2.12969e-08
13509.9, 2.12979e-08
13979.2, 2.1299e-08
14448.5, 2.13002e-08
14917.8, 2.13014e-08
15387.1, 2.13027e-08
15856.4, 2.13042e-08
16325.7, 2.13057e-08
16795, 2.13075e-08
17264.3, 2.13094e-08
17733.6, 2.13116e-08
18202.9, 2.13141e-08
18672.2, 2.1317e-08
19141.5, 2.13203e-08
19610.9, 2.13242e-08
20080.2, 2.13289e-08
20549.5, 2.13343e-08
21018.8, 2.13408e-08
21488.1, 2.13486e-08
21957.4, 2.13578e-08
22426.7, 2.13689e-08
22896, 2.13821e-08
23365.3, 2.13978e-08
23834.6, 2.14166e-08
24303.9, 2.1439e-08
24773.2, 2.14657e-08
25242.5, 2.14972e-08
25711.8, 2.15346e-08
26181.1, 2.15787e-08
26650.4, 2.16306e-08
27119.7, 2.16915e-08
27589.1, 2.17628e-08
28058.4, 2.18461e-08
28527.7, 2.1943e-08
28997, 2.20555e-08
29466.3, 2.21857e-08
29935.6, 2.23361e-08
30404.9, 2.25092e-08
30874.2, 2.2708e-08
31343.5, 2.29358e-08
31812.8, 2.31959e-08
32282.1, 2.34924e-08
32751.4, 2.38294e-08
33220.7, 2.42116e-08
33690, 2.4644e-08
34159.3, 2.51321e-08
34628.6, 2.56817e-08
35097.9, 2.62993e-08
35567.3, 2.69918e-08
36036.6, 2.77665e-08
36505.9, 2.86315e-08
36975.2, 2.95953e-08
37444.5, 3.0667e-08
37913.8, 3.18564e-08
38383.1, 3.31739e-08
38852.4, 3.46305e-08
39321.7, 3.62379e-08
39791, 3.80087e-08
40260.3, 3.99559e-08
40729.6, 4.20934e-08
41198.9, 4.44358e-08
41668.2, 4.69986e-08
42137.5, 4.97979e-08
42606.8, 5.28506e-08
43076.1, 5.61745e-08
43545.5, 5.9788e-08
44014.8, 6.37105e-08
44484.1, 6.79622e-08
44953.4, 7.25639e-08
45422.7, 7.75373e-08
45892, 8.2905e-08
46361.3, 8.86903e-08
46830.6, 9.49172e-08
47299.9, 1.01611e-07
47769.2, 1.08796e-07
48238.5, 1.16499e-07
48707.8, 1.24748e-07
49177.1, 1.3357e-07
49646.4, 1.42993e-07
50115.7, 1.53046e-07
50585, 1.63758e-07
51054.3, 1.7516e-07
51523.7, 1.87282e-07
51993, 2.00156e-07
52462.3, 2.13812e-07
52931.6, 2.28282e-07
53400.9, 2.43599e-07
53870.2, 2.59794e-07
54339.5, 2.76902e-07
54808.8, 2.94953e-07
55278.1, 3.13981e-07
55747.4, 3.3402e-07
56216.7, 3.55101e-07
56686, 3.77259e-07
57155.3, 4.00524e-07
57624.6, 4.24931e-07
58093.9, 4.50511e-07
58563.2, 4.77295e-07
59032.6, 5.05317e-07
59501.9, 5.34605e-07
59971.2, 5.65191e-07
60440.5, 5.97104e-07
60909.8, 6.30374e-07
61379.1, 6.65029e-07
61848.4, 7.01096e-07
62317.7, 7.38601e-07
62787, 7.77571e-07
63256.3, 8.1803e-07
63725.6, 8.60001e-07
64194.9, 9.03506e-07
64664.2, 9.48566e-07
65133.5, 9.95202e-07
65602.8, 1.04343e-06
66072.1, 1.09327e-06
66541.4, 1.14474e-06
67010.8, 1.19784e-06
67480.1, 1.2526e-06
67949.4, 1.30901e-06
68418.7, 1.3671e-06
68888, 1.42687e-06
69357.3, 1.48832e-06
69826.6, 1.55146e-06
70295.9, 1.61629e-06
70765.2, 1.68281e-06
71234.5, 1.75102e-06
71703.8, 1.82091e-06
72173.1, 1.89247e-06
72642.4, 1.96571e-06
73111.7, 2.0406e-06
73581, 2.11715e-06
74050.3, 2.19533e-06
74519.6, 2.27512e-06
74989, 2.35652e-06
75458.3, 2.43949e-06
